loan_id,credit_score,risk_band,ml_default_score,score_date,score_band
LN0000031,709,Near-Prime,0.0669,2026-03-06,Low Risk
LN0000032,463,Deep Sub-Prime,0.0381,2026-03-06,Low Risk
LN0000033,608,Sub-Prime,0.1258,2026-03-06,Medium Risk
LN0000034,670,Sub-Prime,0.3101,2026-03-06,High Risk
LN0000035,589,Sub-Prime,0.2228,2026-03-06,Medium Risk
LN0000036,497,Deep Sub-Prime,0.3794,2026-03-06,High Risk
LN0000037,770,Prime,0.2895,2026-03-06,High Risk
LN0000038,697,Near-Prime,0.2097,2026-03-06,Medium Risk
LN0000039,836,Prime,0.2552,2026-03-06,High Risk
LN0000040,750,Prime,0.1459,2026-03-06,Medium Risk
LN0000041,560,Deep Sub-Prime,0.0971,2026-03-06,Low Risk
LN0000042,704,Near-Prime,0.0457,2026-03-06,Low Risk
LN0000043,689,Near-Prime,0.4142,2026-03-06,High Risk
LN0000044,824,Prime,0.2678,2026-03-06,High Risk
LN0000045,724,Near-Prime,0.4643,2026-03-06,High Risk
LN0000046,824,Prime,0.2844,2026-03-06,High Risk
LN0000047,700,Near-Prime,0.1526,2026-03-06,Medium Risk
LN0000048,783,Prime,0.2617,2026-03-06,High Risk
LN0000049,784,Prime,0.1559,2026-03-06,Medium Risk
LN0000050,687,Near-Prime,0.1866,2026-03-06,Medium Risk
LN0000051,708,Near-Prime,0.1064,2026-03-06,Medium Risk
LN0000052,646,Sub-Prime,0.115,2026-03-06,Medium Risk
LN0000053,790,Prime,0.215,2026-03-06,Medium Risk
LN0000054,624,Sub-Prime,0.2801,2026-03-06,High Risk
LN0000055,824,Prime,0.1794,2026-03-06,Medium Risk
LN0000056,717,Near-Prime,0.2143,2026-03-06,Medium Risk
LN0000057,778,Prime,0.1147,2026-03-06,Medium Risk
LN0000058,825,Prime,0.1255,2026-03-06,Medium Risk
LN0000059,551,Deep Sub-Prime,0.3189,2026-03-06,High Risk
LN0000060,775,Prime,0.0784,2026-03-06,Low Risk
LN0000061,652,Sub-Prime,0.2063,2026-03-06,Medium Risk
LN0000062,836,Prime,0.2544,2026-03-06,High Risk
LN0000063,607,Sub-Prime,0.1664,2026-03-06,Medium Risk
LN0000064,685,Near-Prime,0.2425,2026-03-06,Medium Risk
LN0000065,753,Prime,0.1827,2026-03-06,Medium Risk
LN0000066,587,Sub-Prime,0.2212,2026-03-06,Medium Risk
LN0000067,835,Prime,0.2096,2026-03-06,Medium Risk
LN0000068,796,Prime,0.2738,2026-03-06,High Risk
LN0000069,483,Deep Sub-Prime,0.0829,2026-03-06,Low Risk
LN0000070,778,Prime,0.2246,2026-03-06,Medium Risk
LN0000071,476,Deep Sub-Prime,0.0042,2026-03-06,Low Risk
LN0000072,712,Near-Prime,0.0447,2026-03-06,Low Risk
LN0000073,806,Prime,0.3233,2026-03-06,High Risk
LN0000074,715,Near-Prime,0.0705,2026-03-06,Low Risk
LN0000075,688,Near-Prime,0.0527,2026-03-06,Low Risk
LN0000076,810,Prime,0.181,2026-03-06,Medium Risk
LN0000077,814,Prime,0.2066,2026-03-06,Medium Risk
LN0000078,706,Near-Prime,0.2459,2026-03-06,Medium Risk
LN0000079,753,Prime,0.2774,2026-03-06,High Risk
LN0000080,843,Prime,0.2328,2026-03-06,Medium Risk
LN0000081,741,Near-Prime,0.3935,2026-03-06,High Risk
LN0000082,703,Near-Prime,0.1383,2026-03-06,Medium Risk
LN0000083,650,Sub-Prime,0.155,2026-03-06,Medium Risk
LN0000084,834,Prime,0.0785,2026-03-06,Low Risk
LN0000085,807,Prime,0.1674,2026-03-06,Medium Risk
LN0000086,736,Near-Prime,0.1651,2026-03-06,Medium Risk
LN0000087,698,Near-Prime,0.1182,2026-03-06,Medium Risk
LN0000088,788,Prime,0.1359,2026-03-06,Medium Risk
LN0000089,834,Prime,0.3564,2026-03-06,High Risk
LN0000090,575,Deep Sub-Prime,0.1538,2026-03-06,Medium Risk
LN0000091,662,Sub-Prime,0.2018,2026-03-06,Medium Risk
LN0000092,629,Sub-Prime,0.0265,2026-03-06,Low Risk
LN0000093,726,Near-Prime,0.1947,2026-03-06,Medium Risk
LN0000094,835,Prime,0.0711,2026-03-06,Low Risk
LN0000095,689,Near-Prime,0.2449,2026-03-06,Medium Risk
LN0000096,848,Prime,0.0397,2026-03-06,Low Risk
LN0000097,804,Prime,0.2743,2026-03-06,High Risk
LN0000098,609,Sub-Prime,0.4181,2026-03-06,High Risk
LN0000099,465,Deep Sub-Prime,0.2655,2026-03-06,High Risk
LN0000100,803,Prime,0.3545,2026-03-06,High Risk
LN0000101,655,Sub-Prime,0.4483,2026-03-06,High Risk
LN0000102,594,Sub-Prime,0.3186,2026-03-06,High Risk
LN0000103,798,Prime,0.1789,2026-03-06,Medium Risk
LN0000104,592,Sub-Prime,0.3699,2026-03-06,High Risk
LN0000105,783,Prime,0.3174,2026-03-06,High Risk
LN0000106,840,Prime,0.4314,2026-03-06,High Risk
LN0000107,660,Sub-Prime,0.0301,2026-03-06,Low Risk
LN0000108,614,Sub-Prime,0.0442,2026-03-06,Low Risk
LN0000109,627,Sub-Prime,0.1697,2026-03-06,Medium Risk
LN0000110,551,Deep Sub-Prime,0.0735,2026-03-06,Low Risk
LN0000111,789,Prime,0.18,2026-03-06,Medium Risk
LN0000112,519,Deep Sub-Prime,0.264,2026-03-06,High Risk
LN0000113,521,Deep Sub-Prime,0.1478,2026-03-06,Medium Risk
LN0000114,685,Near-Prime,0.3093,2026-03-06,High Risk
LN0000115,695,Near-Prime,0.3284,2026-03-06,High Risk
LN0000116,798,Prime,0.0732,2026-03-06,Low Risk
LN0000117,641,Sub-Prime,0.0805,2026-03-06,Low Risk
LN0000118,433,Deep Sub-Prime,0.0807,2026-03-06,Low Risk
LN0000119,762,Prime,0.081,2026-03-06,Low Risk
LN0000120,848,Prime,0.3406,2026-03-06,High Risk
LN0000121,721,Near-Prime,0.1333,2026-03-06,Medium Risk
LN0000122,714,Near-Prime,0.0968,2026-03-06,Low Risk
LN0000123,782,Prime,0.1528,2026-03-06,Medium Risk
LN0000124,830,Prime,0.2371,2026-03-06,Medium Risk
LN0000125,474,Deep Sub-Prime,0.0406,2026-03-06,Low Risk
LN0000126,572,Deep Sub-Prime,0.054,2026-03-06,Low Risk
LN0000127,722,Near-Prime,0.4166,2026-03-06,High Risk
LN0000128,753,Prime,0.1488,2026-03-06,Medium Risk
LN0000129,722,Near-Prime,0.4665,2026-03-06,High Risk
LN0000130,626,Sub-Prime,0.2284,2026-03-06,Medium Risk
LN0000131,686,Near-Prime,0.2996,2026-03-06,High Risk
LN0000132,592,Sub-Prime,0.0847,2026-03-06,Low Risk
LN0000133,800,Prime,0.0809,2026-03-06,Low Risk
LN0000134,833,Prime,0.1297,2026-03-06,Medium Risk
LN0000135,646,Sub-Prime,0.0186,2026-03-06,Low Risk
LN0000136,528,Deep Sub-Prime,0.4882,2026-03-06,High Risk
LN0000137,513,Deep Sub-Prime,0.0584,2026-03-06,Low Risk
LN0000138,652,Sub-Prime,0.0416,2026-03-06,Low Risk
LN0000139,706,Near-Prime,0.2273,2026-03-06,Medium Risk
LN0000140,510,Deep Sub-Prime,0.0771,2026-03-06,Low Risk
LN0000141,664,Sub-Prime,0.4688,2026-03-06,High Risk
LN0000142,687,Near-Prime,0.2126,2026-03-06,Medium Risk
LN0000143,835,Prime,0.1253,2026-03-06,Medium Risk
LN0000144,820,Prime,0.2,2026-03-06,Medium Risk
LN0000145,462,Deep Sub-Prime,0.1045,2026-03-06,Medium Risk
LN0000146,821,Prime,0.0161,2026-03-06,Low Risk
LN0000147,741,Near-Prime,0.3885,2026-03-06,High Risk
LN0000148,606,Sub-Prime,0.1704,2026-03-06,Medium Risk
LN0000149,609,Sub-Prime,0.1407,2026-03-06,Medium Risk
LN0000150,810,Prime,0.0422,2026-03-06,Low Risk
LN0000151,848,Prime,0.0616,2026-03-06,Low Risk
LN0000152,847,Prime,0.1021,2026-03-06,Medium Risk
LN0000153,766,Prime,0.4449,2026-03-06,High Risk
LN0000154,706,Near-Prime,0.2727,2026-03-06,High Risk
LN0000155,738,Near-Prime,0.2222,2026-03-06,Medium Risk
LN0000156,836,Prime,0.4068,2026-03-06,High Risk
LN0000157,755,Prime,0.2385,2026-03-06,Medium Risk
LN0000158,848,Prime,0.0375,2026-03-06,Low Risk
LN0000159,721,Near-Prime,0.3637,2026-03-06,High Risk
LN0000160,698,Near-Prime,0.2168,2026-03-06,Medium Risk
LN0000161,754,Prime,0.2778,2026-03-06,High Risk
LN0000162,672,Sub-Prime,0.1886,2026-03-06,Medium Risk
LN0000163,687,Near-Prime,0.2905,2026-03-06,High Risk
LN0000164,638,Sub-Prime,0.3629,2026-03-06,High Risk
LN0000165,710,Near-Prime,0.2604,2026-03-06,High Risk
LN0000166,814,Prime,0.4873,2026-03-06,High Risk
LN0000167,796,Prime,0.1665,2026-03-06,Medium Risk
LN0000168,719,Near-Prime,0.1606,2026-03-06,Medium Risk
LN0000169,763,Prime,0.2251,2026-03-06,Medium Risk
LN0000170,653,Sub-Prime,0.0823,2026-03-06,Low Risk
LN0000171,729,Near-Prime,0.326,2026-03-06,High Risk
LN0000172,746,Near-Prime,0.143,2026-03-06,Medium Risk
LN0000173,407,Deep Sub-Prime,0.2803,2026-03-06,High Risk
LN0000174,791,Prime,0.1302,2026-03-06,Medium Risk
LN0000175,725,Near-Prime,0.1941,2026-03-06,Medium Risk
LN0000176,622,Sub-Prime,0.092,2026-03-06,Low Risk
LN0000177,751,Prime,0.366,2026-03-06,High Risk
LN0000178,742,Near-Prime,0.2787,2026-03-06,High Risk
LN0000179,715,Near-Prime,0.1575,2026-03-06,Medium Risk
LN0000180,590,Sub-Prime,0.2623,2026-03-06,High Risk
LN0000181,730,Near-Prime,0.4431,2026-03-06,High Risk
LN0000182,633,Sub-Prime,0.4177,2026-03-06,High Risk
LN0000183,586,Sub-Prime,0.0368,2026-03-06,Low Risk
LN0000184,772,Prime,0.1776,2026-03-06,Medium Risk
LN0000185,750,Prime,0.2235,2026-03-06,Medium Risk
LN0000186,556,Deep Sub-Prime,0.2512,2026-03-06,High Risk
LN0000187,629,Sub-Prime,0.2431,2026-03-06,Medium Risk
LN0000188,697,Near-Prime,0.2514,2026-03-06,High Risk
LN0000189,619,Sub-Prime,0.0026,2026-03-06,Low Risk
LN0000190,610,Sub-Prime,0.1744,2026-03-06,Medium Risk
LN0000191,729,Near-Prime,0.2394,2026-03-06,Medium Risk
LN0000192,789,Prime,0.0832,2026-03-06,Low Risk
LN0000193,840,Prime,0.465,2026-03-06,High Risk
LN0000194,693,Near-Prime,0.0416,2026-03-06,Low Risk
LN0000195,480,Deep Sub-Prime,0.2689,2026-03-06,High Risk
LN0000196,690,Near-Prime,0.1719,2026-03-06,Medium Risk
LN0000197,794,Prime,0.1536,2026-03-06,Medium Risk
LN0000198,601,Sub-Prime,0.2359,2026-03-06,Medium Risk
LN0000199,643,Sub-Prime,0.1293,2026-03-06,Medium Risk
LN0000200,741,Near-Prime,0.4625,2026-03-06,High Risk
LN0000201,759,Prime,0.1626,2026-03-06,Medium Risk
LN0000202,800,Prime,0.3319,2026-03-06,High Risk
LN0000203,490,Deep Sub-Prime,0.0876,2026-03-06,Low Risk
LN0000204,642,Sub-Prime,0.2712,2026-03-06,High Risk
LN0000205,822,Prime,0.089,2026-03-06,Low Risk
LN0000206,781,Prime,0.0598,2026-03-06,Low Risk
LN0000207,772,Prime,0.0239,2026-03-06,Low Risk
LN0000208,770,Prime,0.1358,2026-03-06,Medium Risk
LN0000209,732,Near-Prime,0.4986,2026-03-06,High Risk
LN0000210,730,Near-Prime,0.0662,2026-03-06,Low Risk
LN0000211,720,Near-Prime,0.2828,2026-03-06,High Risk
LN0000212,735,Near-Prime,0.0799,2026-03-06,Low Risk
LN0000213,561,Deep Sub-Prime,0.0683,2026-03-06,Low Risk
LN0000214,687,Near-Prime,0.375,2026-03-06,High Risk
LN0000215,723,Near-Prime,0.3609,2026-03-06,High Risk
LN0000216,623,Sub-Prime,0.1092,2026-03-06,Medium Risk
LN0000217,736,Near-Prime,0.4183,2026-03-06,High Risk
LN0000218,825,Prime,0.0446,2026-03-06,Low Risk
LN0000219,624,Sub-Prime,0.1077,2026-03-06,Medium Risk
LN0000220,624,Sub-Prime,0.2038,2026-03-06,Medium Risk
LN0000221,833,Prime,0.0717,2026-03-06,Low Risk
LN0000222,512,Deep Sub-Prime,0.311,2026-03-06,High Risk
LN0000223,708,Near-Prime,0.2295,2026-03-06,Medium Risk
LN0000224,831,Prime,0.4905,2026-03-06,High Risk
LN0000225,729,Near-Prime,0.3519,2026-03-06,High Risk
LN0000226,686,Near-Prime,0.1366,2026-03-06,Medium Risk
LN0000227,766,Prime,0.2003,2026-03-06,Medium Risk
LN0000228,544,Deep Sub-Prime,0.1621,2026-03-06,Medium Risk
LN0000229,790,Prime,0.0912,2026-03-06,Low Risk
LN0000230,787,Prime,0.5534,2026-03-06,Very High Risk
LN0000231,750,Prime,0.1615,2026-03-06,Medium Risk
LN0000232,642,Sub-Prime,0.3613,2026-03-06,High Risk
LN0000233,599,Sub-Prime,0.2815,2026-03-06,High Risk
LN0000234,787,Prime,0.0805,2026-03-06,Low Risk
LN0000235,643,Sub-Prime,0.0706,2026-03-06,Low Risk
LN0000236,708,Near-Prime,0.1892,2026-03-06,Medium Risk
LN0000237,731,Near-Prime,0.2409,2026-03-06,Medium Risk
LN0000238,716,Near-Prime,0.4726,2026-03-06,High Risk
LN0000239,824,Prime,0.3878,2026-03-06,High Risk
LN0000240,793,Prime,0.2509,2026-03-06,High Risk
LN0000241,830,Prime,0.3685,2026-03-06,High Risk
LN0000242,611,Sub-Prime,0.0765,2026-03-06,Low Risk
LN0000243,477,Deep Sub-Prime,0.1919,2026-03-06,Medium Risk
LN0000244,828,Prime,0.147,2026-03-06,Medium Risk
LN0000245,680,Near-Prime,0.2312,2026-03-06,Medium Risk
LN0000246,717,Near-Prime,0.0641,2026-03-06,Low Risk
LN0000247,627,Sub-Prime,0.1568,2026-03-06,Medium Risk
LN0000248,734,Near-Prime,0.0411,2026-03-06,Low Risk
LN0000249,781,Prime,0.3746,2026-03-06,High Risk
LN0000250,623,Sub-Prime,0.1929,2026-03-06,Medium Risk
LN0000251,801,Prime,0.1424,2026-03-06,Medium Risk
LN0000252,761,Prime,0.4913,2026-03-06,High Risk
LN0000253,846,Prime,0.0457,2026-03-06,Low Risk
LN0000254,723,Near-Prime,0.285,2026-03-06,High Risk
LN0000255,775,Prime,0.4096,2026-03-06,High Risk
LN0000256,699,Near-Prime,0.1718,2026-03-06,Medium Risk
LN0000257,768,Prime,0.0631,2026-03-06,Low Risk
LN0000258,735,Near-Prime,0.6308,2026-03-06,Very High Risk
LN0000259,741,Near-Prime,0.2272,2026-03-06,Medium Risk
LN0000260,691,Near-Prime,0.3205,2026-03-06,High Risk
LN0000261,687,Near-Prime,0.3944,2026-03-06,High Risk
LN0000262,708,Near-Prime,0.3601,2026-03-06,High Risk
LN0000263,827,Prime,0.0553,2026-03-06,Low Risk
LN0000264,683,Near-Prime,0.1201,2026-03-06,Medium Risk
LN0000265,766,Prime,0.2448,2026-03-06,Medium Risk
LN0000266,602,Sub-Prime,0.0801,2026-03-06,Low Risk
LN0000267,710,Near-Prime,0.2905,2026-03-06,High Risk
LN0000268,824,Prime,0.3167,2026-03-06,High Risk
LN0000269,734,Near-Prime,0.3314,2026-03-06,High Risk
LN0000270,745,Near-Prime,0.125,2026-03-06,Medium Risk
LN0000271,812,Prime,0.1394,2026-03-06,Medium Risk
LN0000272,678,Sub-Prime,0.2089,2026-03-06,Medium Risk
LN0000273,829,Prime,0.1193,2026-03-06,Medium Risk
LN0000274,648,Sub-Prime,0.2211,2026-03-06,Medium Risk
LN0000275,523,Deep Sub-Prime,0.2609,2026-03-06,High Risk
LN0000276,778,Prime,0.1419,2026-03-06,Medium Risk
LN0000277,577,Deep Sub-Prime,0.2474,2026-03-06,Medium Risk
LN0000278,790,Prime,0.1445,2026-03-06,Medium Risk
LN0000279,524,Deep Sub-Prime,0.0679,2026-03-06,Low Risk
LN0000280,695,Near-Prime,0.4587,2026-03-06,High Risk
LN0000281,693,Near-Prime,0.0969,2026-03-06,Low Risk
LN0000282,726,Near-Prime,0.2893,2026-03-06,High Risk
LN0000283,458,Deep Sub-Prime,0.0337,2026-03-06,Low Risk
LN0000284,603,Sub-Prime,0.0164,2026-03-06,Low Risk
LN0000285,785,Prime,0.4863,2026-03-06,High Risk
LN0000286,692,Near-Prime,0.1523,2026-03-06,Medium Risk
LN0000287,557,Deep Sub-Prime,0.2076,2026-03-06,Medium Risk
LN0000288,701,Near-Prime,0.3401,2026-03-06,High Risk
LN0000289,731,Near-Prime,0.1006,2026-03-06,Medium Risk
LN0000290,815,Prime,0.1209,2026-03-06,Medium Risk
LN0000291,696,Near-Prime,0.305,2026-03-06,High Risk
LN0000292,458,Deep Sub-Prime,0.2781,2026-03-06,High Risk
LN0000293,592,Sub-Prime,0.1004,2026-03-06,Medium Risk
LN0000294,590,Sub-Prime,0.0813,2026-03-06,Low Risk
LN0000295,750,Prime,0.3015,2026-03-06,High Risk
LN0000296,796,Prime,0.3543,2026-03-06,High Risk
LN0000297,682,Near-Prime,0.2449,2026-03-06,Medium Risk
LN0000298,837,Prime,0.2372,2026-03-06,Medium Risk
LN0000299,463,Deep Sub-Prime,0.2288,2026-03-06,Medium Risk
LN0000300,791,Prime,0.1343,2026-03-06,Medium Risk
LN0000301,734,Near-Prime,0.0509,2026-03-06,Low Risk
LN0000302,778,Prime,0.3206,2026-03-06,High Risk
LN0000303,840,Prime,0.0433,2026-03-06,Low Risk
LN0000304,820,Prime,0.2773,2026-03-06,High Risk
LN0000305,475,Deep Sub-Prime,0.2091,2026-03-06,Medium Risk
LN0000306,612,Sub-Prime,0.2071,2026-03-06,Medium Risk
LN0000307,826,Prime,0.1685,2026-03-06,Medium Risk
LN0000308,790,Prime,0.072,2026-03-06,Low Risk
LN0000309,813,Prime,0.4467,2026-03-06,High Risk
LN0000310,807,Prime,0.0843,2026-03-06,Low Risk
LN0000311,680,Near-Prime,0.1064,2026-03-06,Medium Risk
LN0000312,421,Deep Sub-Prime,0.0821,2026-03-06,Low Risk
LN0000313,605,Sub-Prime,0.0488,2026-03-06,Low Risk
LN0000314,657,Sub-Prime,0.2162,2026-03-06,Medium Risk
LN0000315,794,Prime,0.2011,2026-03-06,Medium Risk
LN0000316,665,Sub-Prime,0.0909,2026-03-06,Low Risk
LN0000317,716,Near-Prime,0.1328,2026-03-06,Medium Risk
LN0000318,690,Near-Prime,0.0397,2026-03-06,Low Risk
LN0000319,627,Sub-Prime,0.196,2026-03-06,Medium Risk
LN0000320,843,Prime,0.2464,2026-03-06,Medium Risk
LN0000321,675,Sub-Prime,0.1481,2026-03-06,Medium Risk
LN0000322,731,Near-Prime,0.2514,2026-03-06,High Risk
LN0000323,662,Sub-Prime,0.278,2026-03-06,High Risk
LN0000324,781,Prime,0.1874,2026-03-06,Medium Risk
LN0000325,755,Prime,0.2039,2026-03-06,Medium Risk
LN0000326,534,Deep Sub-Prime,0.1003,2026-03-06,Medium Risk
LN0000327,767,Prime,0.134,2026-03-06,Medium Risk
LN0000328,594,Sub-Prime,0.192,2026-03-06,Medium Risk
LN0000329,686,Near-Prime,0.1098,2026-03-06,Medium Risk
LN0000330,713,Near-Prime,0.2147,2026-03-06,Medium Risk
LN0000331,758,Prime,0.192,2026-03-06,Medium Risk
LN0000332,704,Near-Prime,0.0788,2026-03-06,Low Risk
LN0000333,411,Deep Sub-Prime,0.109,2026-03-06,Medium Risk
LN0000334,795,Prime,0.2555,2026-03-06,High Risk
LN0000335,730,Near-Prime,0.298,2026-03-06,High Risk
LN0000336,609,Sub-Prime,0.0825,2026-03-06,Low Risk
LN0000337,670,Sub-Prime,0.4649,2026-03-06,High Risk
LN0000338,520,Deep Sub-Prime,0.2307,2026-03-06,Medium Risk
LN0000339,617,Sub-Prime,0.0901,2026-03-06,Low Risk
LN0000340,841,Prime,0.1008,2026-03-06,Medium Risk
LN0000341,743,Near-Prime,0.1199,2026-03-06,Medium Risk
LN0000342,589,Sub-Prime,0.1863,2026-03-06,Medium Risk
LN0000343,720,Near-Prime,0.1476,2026-03-06,Medium Risk
LN0000344,497,Deep Sub-Prime,0.1582,2026-03-06,Medium Risk
LN0000345,780,Prime,0.1898,2026-03-06,Medium Risk
LN0000346,787,Prime,0.0635,2026-03-06,Low Risk
LN0000347,613,Sub-Prime,0.1481,2026-03-06,Medium Risk
LN0000348,597,Sub-Prime,0.1392,2026-03-06,Medium Risk
LN0000349,781,Prime,0.2712,2026-03-06,High Risk
LN0000350,739,Near-Prime,0.2247,2026-03-06,Medium Risk
LN0000351,839,Prime,0.5938,2026-03-06,Very High Risk
LN0000352,683,Near-Prime,0.4603,2026-03-06,High Risk
LN0000353,776,Prime,0.1732,2026-03-06,Medium Risk
LN0000354,704,Near-Prime,0.13,2026-03-06,Medium Risk
LN0000355,663,Sub-Prime,0.2363,2026-03-06,Medium Risk
LN0000356,735,Near-Prime,0.3051,2026-03-06,High Risk
LN0000357,623,Sub-Prime,0.2057,2026-03-06,Medium Risk
LN0000358,732,Near-Prime,0.0596,2026-03-06,Low Risk
LN0000359,688,Near-Prime,0.2163,2026-03-06,Medium Risk
LN0000360,612,Sub-Prime,0.1601,2026-03-06,Medium Risk
LN0000361,784,Prime,0.3234,2026-03-06,High Risk
LN0000362,686,Near-Prime,0.1853,2026-03-06,Medium Risk
LN0000363,724,Near-Prime,0.1671,2026-03-06,Medium Risk
LN0000364,687,Near-Prime,0.1369,2026-03-06,Medium Risk
LN0000365,658,Sub-Prime,0.2385,2026-03-06,Medium Risk
LN0000366,707,Near-Prime,0.4243,2026-03-06,High Risk
LN0000367,633,Sub-Prime,0.2843,2026-03-06,High Risk
LN0000368,808,Prime,0.0941,2026-03-06,Low Risk
LN0000369,673,Sub-Prime,0.1192,2026-03-06,Medium Risk
LN0000370,812,Prime,0.1554,2026-03-06,Medium Risk
LN0000371,737,Near-Prime,0.2044,2026-03-06,Medium Risk
LN0000372,782,Prime,0.1148,2026-03-06,Medium Risk
LN0000373,732,Near-Prime,0.29,2026-03-06,High Risk
LN0000374,751,Prime,0.1635,2026-03-06,Medium Risk
LN0000375,402,Deep Sub-Prime,0.3677,2026-03-06,High Risk
LN0000376,755,Prime,0.2552,2026-03-06,High Risk
LN0000377,795,Prime,0.337,2026-03-06,High Risk
LN0000378,746,Near-Prime,0.1408,2026-03-06,Medium Risk
LN0000379,729,Near-Prime,0.0068,2026-03-06,Low Risk
LN0000380,725,Near-Prime,0.5814,2026-03-06,Very High Risk
LN0000381,663,Sub-Prime,0.0858,2026-03-06,Low Risk
LN0000382,767,Prime,0.3819,2026-03-06,High Risk
LN0000383,758,Prime,0.2378,2026-03-06,Medium Risk
LN0000384,732,Near-Prime,0.2084,2026-03-06,Medium Risk
LN0000385,824,Prime,0.1722,2026-03-06,Medium Risk
LN0000386,534,Deep Sub-Prime,0.1168,2026-03-06,Medium Risk
LN0000387,637,Sub-Prime,0.0481,2026-03-06,Low Risk
LN0000388,799,Prime,0.121,2026-03-06,Medium Risk
LN0000389,586,Sub-Prime,0.1042,2026-03-06,Medium Risk
LN0000390,757,Prime,0.2533,2026-03-06,High Risk
LN0000391,830,Prime,0.1507,2026-03-06,Medium Risk
LN0000392,756,Prime,0.0194,2026-03-06,Low Risk
LN0000393,460,Deep Sub-Prime,0.1353,2026-03-06,Medium Risk
LN0000394,710,Near-Prime,0.0221,2026-03-06,Low Risk
LN0000395,699,Near-Prime,0.2388,2026-03-06,Medium Risk
LN0000396,686,Near-Prime,0.1922,2026-03-06,Medium Risk
LN0000397,820,Prime,0.0417,2026-03-06,Low Risk
LN0000398,780,Prime,0.2298,2026-03-06,Medium Risk
LN0000399,685,Near-Prime,0.2376,2026-03-06,Medium Risk
LN0000400,658,Sub-Prime,0.0562,2026-03-06,Low Risk
LN0000401,722,Near-Prime,0.0095,2026-03-06,Low Risk
LN0000402,796,Prime,0.174,2026-03-06,Medium Risk
LN0000403,693,Near-Prime,0.5646,2026-03-06,Very High Risk
LN0000404,691,Near-Prime,0.104,2026-03-06,Medium Risk
LN0000405,712,Near-Prime,0.1703,2026-03-06,Medium Risk
LN0000406,789,Prime,0.1144,2026-03-06,Medium Risk
LN0000407,702,Near-Prime,0.0667,2026-03-06,Low Risk
LN0000408,766,Prime,0.2542,2026-03-06,High Risk
LN0000409,766,Prime,0.0413,2026-03-06,Low Risk
LN0000410,784,Prime,0.15,2026-03-06,Medium Risk
LN0000411,694,Near-Prime,0.0506,2026-03-06,Low Risk
LN0000412,727,Near-Prime,0.0624,2026-03-06,Low Risk
LN0000413,744,Near-Prime,0.5779,2026-03-06,Very High Risk
LN0000414,590,Sub-Prime,0.356,2026-03-06,High Risk
LN0000415,689,Near-Prime,0.0858,2026-03-06,Low Risk
LN0000416,722,Near-Prime,0.1826,2026-03-06,Medium Risk
LN0000417,684,Near-Prime,0.4172,2026-03-06,High Risk
LN0000418,594,Sub-Prime,0.4089,2026-03-06,High Risk
LN0000419,736,Near-Prime,0.125,2026-03-06,Medium Risk
LN0000420,839,Prime,0.1877,2026-03-06,Medium Risk
LN0000421,776,Prime,0.0606,2026-03-06,Low Risk
LN0000422,638,Sub-Prime,0.2883,2026-03-06,High Risk
LN0000423,629,Sub-Prime,0.1208,2026-03-06,Medium Risk
LN0000424,479,Deep Sub-Prime,0.1445,2026-03-06,Medium Risk
LN0000425,823,Prime,0.1192,2026-03-06,Medium Risk
LN0000426,818,Prime,0.1564,2026-03-06,Medium Risk
